Top30commodities,parent,ImportsM2022
Imports,,
Gas,Imports,4690
Cars,Imports,26771
Crude oil,Imports,12120
Refined oil,Imports,10875
Medicinal & pharmaceutical products,Imports,22247
Mechanical power generators (intermediate),Imports,14495
Telecoms & sound equipment (capital),Imports,18600
Clothing,Imports,20790
Miscellaneous electrical goods (intermediate),Imports,13349
Other manufactures (consumer),Imports,13181
Office machinery (capital),Imports,14326
Non-ferrous metals,Imports,14114
Miscellaneous metal manufactures,Imports,10186
Organic chemicals,Imports,7666
Vegetables & fruit,Imports,11590
General industrial machinery (capital),Imports,7745
Scientific instruments (capital),Imports,9331
Road vehicles other than cars (capital),Imports,6055
Road vehicles other than cars (intermediate),Imports,9810
Unspecified goods,Imports,10753
General industrial machinery (intermediate),Imports,6683
Beverages,Imports,6872
Paper & paperboard,Imports,5888
Meat & meat preparations,Imports,6305
Mineral manufactures,Imports,4829
Iron & steel,Imports,4640
Toilet & cleansing preparations,Imports,6481
Aircraft,Imports,6538
Other chemicals,Imports,6653
Miscellaneous electrical goods (capital),Imports,4934
